compositionId,recipeId,quantity,unit,ingredientId
884,188,2,oz,98
885,188,2,oz,231
886,188,1,oz,1187
887,188,1,tincture,822
888,189,1.5,oz,494
889,189,1,oz,72
890,189,1,oz,340
891,189,8-9,drops,798
892,189,6,,862
893,190,2,oz,550
894,190,3,oz,1158
895,190,.5,oz,340
896,191,2,oz,550
897,191,3,oz,22
898,191,.5,oz,340
899,192,3,oz,834
900,192,.5,oz,1076
901,192,.25,oz,300
902,192,.25,oz,875
903,193,1.5,oz,661
904,193,.5,oz,1076
905,193,1,oz,1159
906,193,1,oz,281
907,193,2,dash,436
908,193,,,389
909,194,4,pieces,13
910,194,1-2,Tbsp,293
911,194,1,,1122
912,195,1,oz,550
913,195,1,,139
914,195,1,dash,636
915,195,1,dash,1189
916,195,1,dash,217
917,196,2,oz,550
918,196,.5,oz,1107
919,196,.5,oz,907
920,196,.25,oz,646
921,197,1.5,oz,615
922,197,.75,oz,588
923,197,.5,oz,827
924,197,1,oz,802
925,197,.5,,936
926,198,1.25,oz,1027
927,198,1,oz,317
928,198,1,oz,827
929,198,.75,oz,1151
930,198,1,,86
931,199,1.5,oz,1194
932,199,.5,oz,1027
933,199,.5,oz,376
934,199,.75,oz,827
935,199,1,,86
936,200,1,oz,653
937,200,.5,oz,1076
938,200,.25,oz,775
939,200,3,spoon,293
940,200,1,whole,863
941,200,.5,oz,417
942,200,.5,oz,437
943,201,1,oz,262
944,201,1,oz,1076
945,201,.25,oz,2
946,201,.75,oz,451
947,201,2,dash,650
948,201,1,whole,863
949,202,2,oz,984
950,202,.75,oz,311
951,202,.75,oz,343
952,202,1,,936
953,203,1.5,oz,653
954,203,.5,oz,1139
955,203,.25,oz,528
956,203,.25,oz,838
957,203,.5,oz,809
958,203,.25,oz,154
959,203,.5,oz,196
960,204,30,ml,550
961,204,15,ml,507
962,204,15,oz,555
963,204,1,whole,863
964,204,,,880
965,205,40,ml,550
966,205,10,ml,624
967,205,10,ml,192
968,205,10,ml,907
969,205,10,ml,1041
970,205,25,ml,936
971,206,.5,oz,398
972,206,.5,oz,673
973,206,.5,oz,348
974,206,.5,oz,106
975,206,.5,oz,322
976,206,1,tsp,925
977,206,1,whole,863
978,206,,,582
979,207,1.5,oz,550
980,207,2.5,oz,503
981,207,1,Tbsp,279
982,207,1,dash,1048
983,208,1,oz,594
984,208,1.25,oz,1076
985,208,.5,oz,1059
986,208,.5,oz,907
987,208,.5,oz,936
988,209,50,ml,1076
989,209,4,,1008
990,209,25,ml,178
991,209,15,ml,43
992,209,25,ml,936
993,210,2,oz,615
994,210,.75,oz,827
995,210,.75,oz,44
996,210,.5,oz,86
997,211,2,oz,547
998,211,.5,oz,2
999,211,.5,oz,311
1000,211,1,oz,996
1001,211,.5,oz,1212
1002,211,.5,oz,86
1003,212,1.5,oz,1027
1004,212,8,oz,1209
1005,212,,,718
1006,212,,,91
1007,213,2,oz,627
1008,213,2,oz,987
1009,213,1,tsp,197
1010,213,1,,13
1011,213,,,124
1012,213,12,,1154
1013,213,,,5
1014,214,1,oz,627
1015,214,.75,oz,801
1016,214,.5,oz,1078
1017,214,.75,oz,340
1018,215,1,oz,953
1019,215,1,oz,371
1020,215,.75,oz,340
1021,215,.5,oz,860
1022,215,.5,oz,1135
1023,215,.5,oz,1020
1024,215,2,dash,1151
1025,216,1,oz,1175
1026,216,.25,oz,341
